employer,ticker,note
Google LLC,GOOGL,Alphabet's main operating company
Google Inc.,GOOGL,Alphabet (older filings)
Amazon Web Services Inc.,AMZN,Amazon subsidiary
Amazon Development Center U.S. Inc.,AMZN,Amazon subsidiary
Amazon Data Services Inc.,AMZN,Amazon subsidiary
Amazon Advertising LLC,AMZN,Amazon subsidiary
Amazon Logistics Inc.,AMZN,Amazon subsidiary
Whole Foods Market Services Inc.,AMZN,Amazon subsidiary
Facebook Inc.,META,Meta's former name
Instagram LLC,META,Meta subsidiary
WhatsApp LLC,META,Meta subsidiary
Capital One N.A.,COF,Capital One's bank
Capital One Services LLC,COF,Capital One subsidiary
Citibank N.A.,C,Citigroup's bank
Visa U.S.A. Inc.,V,Visa subsidiary
Visa Technology & Operations LLC,V,Visa subsidiary
LinkedIn Corporation,MSFT,Microsoft subsidiary
GitHub Inc.,MSFT,Microsoft subsidiary
Activision Blizzard Inc.,MSFT,Microsoft subsidiary since 2023
YouTube LLC,GOOGL,Alphabet subsidiary
Waymo LLC,GOOGL,Alphabet subsidiary
Verily Life Sciences LLC,GOOGL,Alphabet subsidiary
Nuance Communications Inc.,MSFT,Microsoft subsidiary since 2022
Slack Technologies LLC,CRM,Salesforce subsidiary
Tableau Software LLC,CRM,Salesforce subsidiary
MuleSoft LLC,CRM,Salesforce subsidiary
Red Hat Inc.,IBM,IBM subsidiary
VMware LLC,AVGO,Broadcom subsidiary since 2023
Twitch Interactive Inc.,AMZN,Amazon subsidiary
Zappos.com LLC,AMZN,Amazon subsidiary
Audible Inc.,AMZN,Amazon subsidiary
Ring LLC,AMZN,Amazon subsidiary
Optum Services Inc.,UNH,UnitedHealth Group subsidiary
Optum Inc.,UNH,UnitedHealth Group subsidiary
UnitedHealthcare Services Inc.,UNH,UnitedHealth Group subsidiary
Merrill Lynch Pierce Fenner & Smith Incorporated,BAC,Bank of America subsidiary
Chase Bank USA N.A.,JPM,JPMorgan Chase subsidiary
Charles Schwab & Co. Inc.,SCHW,Charles Schwab's broker
Wal-Mart Associates Inc.,WMT,Walmart's US employer
Walmart Associates Inc.,WMT,Walmart's US employer
Federal Express Corporation,FDX,FedEx subsidiary
FedEx Services Inc.,FDX,FedEx subsidiary
AT&T Services Inc.,T,AT&T subsidiary
AT&T Mobility Services LLC,T,AT&T subsidiary
U.S. Bank National Association,USB,U.S. Bancorp's bank
Capital One National Association,COF,Capital One's bank
Comcast Cable Communications LLC,CMCSA,Comcast subsidiary
NBCUniversal Media LLC,CMCSA,Comcast subsidiary
CGI Technologies and Solutions Inc.,GIB,CGI's US subsidiary
Capgemini America Inc,CAP.PA,Capgemini's US subsidiary
